,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r2,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r2,0,500000,0
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r2,0,396381,89822
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r2,0,288537,197959
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r2,0,303187,184115
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r2,0,351371,134063
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r2,0,269445,216029
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r2,0,306881,180787
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r2,0,328146,159648
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r2,0,327520,159485
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r2,0,334199,149328
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r2,0,270499,218143
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r2,0,441760,41506
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r2,0,424696,66865
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r2,0,405995,85289
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r2,0,286490,200155
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r2,0,350281,142531
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r2,0,406059,82959
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r2,0,261424,226129
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r2,0,291593,196715
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r2,0,254346,231616
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r2,0,256582,229182
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r2,0,309785,177428
