,Date image,no-data: 0,non-water: 1,water: 2
0,JRC_GSW1_4_Monthlyhistory_Ganges_1999-03_r2,0,500000,0
1,JRC_GSW1_4_Monthlyhistory_Ganges_2000-03_r2,0,250997,235630
2,JRC_GSW1_4_Monthlyhistory_Ganges_2001-03_r2,0,356002,136065
3,JRC_GSW1_4_Monthlyhistory_Ganges_2002-03_r2,0,271392,215774
4,JRC_GSW1_4_Monthlyhistory_Ganges_2003-03_r2,0,286544,203781
5,JRC_GSW1_4_Monthlyhistory_Ganges_2004-03_r2,0,249720,238562
6,JRC_GSW1_4_Monthlyhistory_Ganges_2005-03_r2,0,249850,238549
7,JRC_GSW1_4_Monthlyhistory_Ganges_2006-03_r2,0,250547,239410
8,JRC_GSW1_4_Monthlyhistory_Ganges_2007-03_r2,0,249818,239641
9,JRC_GSW1_4_Monthlyhistory_Ganges_2008-03_r2,0,249723,240541
10,JRC_GSW1_4_Monthlyhistory_Ganges_2009-03_r2,0,249897,240341
11,JRC_GSW1_4_Monthlyhistory_Ganges_2010-03_r2,0,249725,240691
12,JRC_GSW1_4_Monthlyhistory_Ganges_2011-03_r2,0,251417,238501
13,JRC_GSW1_4_Monthlyhistory_Ganges_2012-03_r2,0,251263,239383
14,JRC_GSW1_4_Monthlyhistory_Ganges_2013-03_r2,0,255865,233931
15,JRC_GSW1_4_Monthlyhistory_Ganges_2014-03_r2,0,249720,237923
16,JRC_GSW1_4_Monthlyhistory_Ganges_2015-03_r2,0,249720,239717
17,JRC_GSW1_4_Monthlyhistory_Ganges_2016-03_r2,0,249720,240752
18,JRC_GSW1_4_Monthlyhistory_Ganges_2017-03_r2,0,250189,240325
19,JRC_GSW1_4_Monthlyhistory_Ganges_2018-03_r2,0,249720,240714
20,JRC_GSW1_4_Monthlyhistory_Ganges_2019-03_r2,0,249720,239701
21,JRC_GSW1_4_Monthlyhistory_Ganges_2020-03_r2,0,249720,238352
22,JRC_GSW1_4_Monthlyhistory_Ganges_2021-03_r2,0,249720,240487
