Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ganges_1999-01_r1,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2000-01_r1,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ganges_2001-01_r1,0,462923,18905
JRC_GSW1_4_Monthlyhistory_Ganges_2002-01_r1,0,225426,244259
JRC_GSW1_4_Monthlyhistory_Ganges_2003-01_r1,0,396585,71340
JRC_GSW1_4_Monthlyhistory_Ganges_2004-01_r1,0,93896,369596
JRC_GSW1_4_Monthlyhistory_Ganges_2005-01_r1,0,37300,430291
JRC_GSW1_4_Monthlyhistory_Ganges_2006-01_r1,0,196482,275820
JRC_GSW1_4_Monthlyhistory_Ganges_2007-01_r1,0,306631,167662
JRC_GSW1_4_Monthlyhistory_Ganges_2008-01_r1,0,314829,155823
JRC_GSW1_4_Monthlyhistory_Ganges_2009-01_r1,0,168186,297866
JRC_GSW1_4_Monthlyhistory_Ganges_2010-01_r1,0,29535,445833
JRC_GSW1_4_Monthlyhistory_Ganges_2011-01_r1,0,427408,43267
JRC_GSW1_4_Monthlyhistory_Ganges_2012-01_r1,0,475185,14140
JRC_GSW1_4_Monthlyhistory_Ganges_2013-01_r1,0,299871,172833
JRC_GSW1_4_Monthlyhistory_Ganges_2014-01_r1,0,355999,113229
JRC_GSW1_4_Monthlyhistory_Ganges_2015-01_r1,0,94310,384183
JRC_GSW1_4_Monthlyhistory_Ganges_2016-01_r1,0,419507,57142
JRC_GSW1_4_Monthlyhistory_Ganges_2017-01_r1,0,46154,424302
JRC_GSW1_4_Monthlyhistory_Ganges_2018-01_r1,0,242603,230008
JRC_GSW1_4_Monthlyhistory_Ganges_2019-01_r1,0,9878,461174
JRC_GSW1_4_Monthlyhistory_Ganges_2020-01_r1,0,241492,225752
JRC_GSW1_4_Monthlyhistory_Ganges_2021-01_r1,0,32148,435474
