Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Ghangara_1999-04_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2000-04_r5,0,126066,369056
JRC_GSW1_4_Monthlyhistory_Ghangara_2001-04_r5,0,3,494537
JRC_GSW1_4_Monthlyhistory_Ghangara_2002-04_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2003-04_r5,0,500000,0
JRC_GSW1_4_Monthlyhistory_Ghangara_2004-04_r5,0,2195,491909
JRC_GSW1_4_Monthlyhistory_Ghangara_2005-04_r5,0,6404,486938
JRC_GSW1_4_Monthlyhistory_Ghangara_2006-04_r5,0,0,492321
JRC_GSW1_4_Monthlyhistory_Ghangara_2007-04_r5,0,2,488164
JRC_GSW1_4_Monthlyhistory_Ghangara_2008-04_r5,0,0,492558
JRC_GSW1_4_Monthlyhistory_Ghangara_2009-04_r5,0,0,491864
JRC_GSW1_4_Monthlyhistory_Ghangara_2010-04_r5,0,0,491170
JRC_GSW1_4_Monthlyhistory_Ghangara_2011-04_r5,0,252232,244908
JRC_GSW1_4_Monthlyhistory_Ghangara_2012-04_r5,0,134257,359353
JRC_GSW1_4_Monthlyhistory_Ghangara_2013-04_r5,0,2434,485826
JRC_GSW1_4_Monthlyhistory_Ghangara_2014-04_r5,0,0,489934
JRC_GSW1_4_Monthlyhistory_Ghangara_2015-04_r5,0,3734,481936
JRC_GSW1_4_Monthlyhistory_Ghangara_2016-04_r5,0,0,490086
JRC_GSW1_4_Monthlyhistory_Ghangara_2017-04_r5,0,0,488321
JRC_GSW1_4_Monthlyhistory_Ghangara_2018-04_r5,0,0,491243
JRC_GSW1_4_Monthlyhistory_Ghangara_2019-04_r5,0,71,486302
JRC_GSW1_4_Monthlyhistory_Ghangara_2020-04_r5,0,2,487271
JRC_GSW1_4_Monthlyhistory_Ghangara_2021-04_r5,0,0,491738
