Date_Reach,no-data: -1,non-water: 0,water: 1
JRC_GSW1_4_Monthlyhistory_Indus_1999-01_r11,0,408086,76783
JRC_GSW1_4_Monthlyhistory_Indus_2000-01_r11,0,48739,427400
JRC_GSW1_4_Monthlyhistory_Indus_2001-01_r11,0,17683,459825
JRC_GSW1_4_Monthlyhistory_Indus_2002-01_r11,0,51904,431912
JRC_GSW1_4_Monthlyhistory_Indus_2003-01_r11,0,379678,109448
JRC_GSW1_4_Monthlyhistory_Indus_2004-01_r11,0,187795,297203
JRC_GSW1_4_Monthlyhistory_Indus_2005-01_r11,0,172058,314769
JRC_GSW1_4_Monthlyhistory_Indus_2006-01_r11,0,305280,176787
JRC_GSW1_4_Monthlyhistory_Indus_2007-01_r11,0,389359,91283
JRC_GSW1_4_Monthlyhistory_Indus_2008-01_r11,0,143878,331561
JRC_GSW1_4_Monthlyhistory_Indus_2009-01_r11,0,346090,137597
JRC_GSW1_4_Monthlyhistory_Indus_2010-01_r11,0,441513,47999
JRC_GSW1_4_Monthlyhistory_Indus_2011-01_r11,0,31602,444745
JRC_GSW1_4_Monthlyhistory_Indus_2012-01_r11,0,248205,227948
JRC_GSW1_4_Monthlyhistory_Indus_2013-01_r11,0,423730,56923
JRC_GSW1_4_Monthlyhistory_Indus_2014-01_r11,0,5920,469078
JRC_GSW1_4_Monthlyhistory_Indus_2015-01_r11,0,51970,445257
JRC_GSW1_4_Monthlyhistory_Indus_2016-01_r11,0,499976,21
JRC_GSW1_4_Monthlyhistory_Indus_2017-01_r11,0,110439,367293
JRC_GSW1_4_Monthlyhistory_Indus_2018-01_r11,0,123865,357274
JRC_GSW1_4_Monthlyhistory_Indus_2019-01_r11,0,340538,143318
JRC_GSW1_4_Monthlyhistory_Indus_2020-01_r11,0,50931,430753
JRC_GSW1_4_Monthlyhistory_Indus_2021-01_r11,0,166404,312032
